#country+name,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+code,#sector+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,26512,Agriculture,,20021069,
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,12,Child Protection,,8754881,
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,26480,Coordination and support services,22936390,36955197,161
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,2,Early Recovery,99148700,24775365,24
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,3,Education,53424943,46492360,87
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,4,Emergency Shelter and NFI,195267386,57368282,29
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,5,Emergency Telecommunications,2211000,0,0
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,6,Food Security,1270715787,830128997,65
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,7,Health,572438179,230137238,40
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,8,Logistics,37878158,33244559,87
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,26479,Multi-sector,106714868,42275796,39
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,,Not specified,,342687551,
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,9,Nutrition,195414635,119207946,61
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,10,Protection,104106197,42610144,40
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,11,Water Sanitation Hygiene,298793176,140778887,47
Yemen,657,Yemen 2018,HYEM18,1/1/2018,12/31/2018,2018,,Shared Funding,,32991428,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,26512,Agriculture,51510347,24665389,47
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,1,Camp Coordination / Management,,749522,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,12,Child Protection,,2036949,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,26480,Coordination and support services,17949253,17865495,99
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,2,Early Recovery,56461958,11991251,21
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,3,Education,36431389,13685399,37
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,4,Emergency Shelter and NFI,106018323,19611832,18
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,5,Emergency Telecommunications,3238003,24792095,765
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,6,Food Security,1002058038,743945791,74
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,7,Health,430656804,194666626,45
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,8,Logistics,19470000,31420703,161
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,15,Mine Action,10000000,9176874,91
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,26479,Multi-sector,80958478,29573842,36
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,,Not specified,,318584721,
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,9,Nutrition,182179941,121304273,66
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,10,Protection,72054751,39265867,54
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,11,Water Sanitation Hygiene,269808855,97671015,36
Yemen,542,Yemen Humanitarian Response Plan 2017,HYEM17,1/1/2017,12/31/2017,2017,,Shared Funding,,64005415,
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,12,Child Protection,26208644,6810179,25
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,26480,Coordination and support services,63444837,21585415,34
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,2,Early Recovery,83990807,11012153,13
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,3,Education,33365012,5596523,16
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,4,Emergency Shelter and NFI,158287203,25354518,16
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,5,Emergency Telecommunications,1820290,,
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,6,Food Security,745973868,464001552,62
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,13,Gender Based Violence,9083450,2351754,25
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,7,Health,285209558,102734741,36
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,8,Logistics,44000000,20590024,46
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,26479,Multi-sector,73875554,8832684,11
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,,Not specified,,217684417,
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,9,Nutrition,102898303,60825082,59
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,10,Protection,80740543,22478467,27
Yemen,513,Yemen Humanitarian Response Plan 2016,HYEM16,1/1/2016,12/31/2016,2016,11,Water Sanitation Hygiene,141129993,55928278,39
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,26512,Agriculture,,10577242,
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,12,Child Protection,21943119,5972174,27
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,26480,Coordination and support services,8759134,17749661,202
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,2,Early Recovery,48491688,10184631,21
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,3,Education,17480344,7266851,41
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,4,Emergency Shelter and NFI,152424080,44241197,29
Yemen,477,Yemen 2015,HYEM15,1/1/2015,12/31/2015,2015,5,Emergency Telecommunications,2119622,678302,32
